query,title,url,snippet,source
car sharing basel,Eco Ride 8 on Moneyhouse,https://ecoride8.example.com,Sample snippet about the business or unrelated content.,Other
velo shop zürich,Urban Mobility 9 – Reviews on Search.ch,https://tel.search.ch/Basel/urban-mobility-9,Sample snippet about the business or unrelated content.,Search.ch
e-scooter rental bern,Urban Mobility 9 – Reviews on Search.ch,https://tel.search.ch/Basel/urban-mobility-9,Sample snippet about the business or unrelated content.,Search.ch
car sharing basel,Pet grooming services near me,https://tel.search.ch/Basel/urban-mobility-9,Sample snippet about the business or unrelated content.,Search.ch
velo shop zürich,Swift Ride 10 on Moneyhouse,https://www.moneyhouse.ch/en/company/swift-ride-10,Sample snippet about the business or unrelated content.,Moneyhouse.ch
e-scooter rental bern,Pet grooming services near me,https://tel.search.ch/Luzern/swift-ride-10,Sample snippet about the business or unrelated content.,Search.ch
car sharing basel,Swift Ride 10 – Official Site,https://www.moneyhouse.ch/en/company/swift-ride-10,Sample snippet about the business or unrelated content.,Moneyhouse.ch
velo shop zürich,Public EV Charging Map Switzerland,https://tel.search.ch/St. Gallen/nova-charge-11,Sample snippet about the business or unrelated content.,Search.ch
e-scooter rental bern,Pet grooming services near me,https://novacharge11.bikeswiss.ch,Sample snippet about the business or unrelated content.,Other
car sharing basel,Nova Charge 11 on Moneyhouse,https://randomblog.example.com/nova-charge-11,Sample snippet about the business or unrelated content.,Other
velo shop zürich,Public EV Charging Map Switzerland,https://www.moneyhouse.ch/en/company/metro-charge-12,Sample snippet about the business or unrelated content.,Moneyhouse.ch
e-scooter rental bern,Metro Charge 12 – Official Site,https://tel.search.ch/Luzern/metro-charge-12,Sample snippet about the business or unrelated content.,Search.ch
car sharing basel,10 Best Cafés in Zürich,https://tel.search.ch/Luzern/metro-charge-12,Sample snippet about the business or unrelated content.,Search.ch
velo shop zürich,Eco Wheels 13 on Moneyhouse,https://tel.search.ch/St. Gallen/eco-wheels-13,Sample snippet about the business or unrelated content.,Search.ch
e-scooter rental bern,Eco Wheels 13 – Official Site,https://ecowheels13.chargeup.ch,Sample snippet about the business or unrelated content.,Other
car sharing basel,Eco Wheels 13 – Reviews on Search.ch,https://ecowheels13.chargeup.ch,Sample snippet about the business or unrelated content.,Other
velo shop zürich,Eco Cycles 14 on Moneyhouse,https://tel.search.ch/Basel/eco-cycles-14,Sample snippet about the business or unrelated content.,Search.ch
e-scooter rental bern,Eco Cycles 14 on Moneyhouse,https://www.moneyhouse.ch/en/company/eco-cycles-14,Sample snippet about the business or unrelated content.,Moneyhouse.ch
car sharing basel,Pet grooming services near me,https://tel.search.ch/Basel/eco-cycles-14,Sample snippet about the business or unrelated content.,Search.ch
velo shop zürich,Pet grooming services near me,https://www.moneyhouse.ch/en/company/metro-wheels-15,Sample snippet about the business or unrelated content.,Moneyhouse.ch
e-scooter rental bern,10 Best Cafés in Zürich,https://metrowheels15.bikeswiss.ch,Sample snippet about the business or unrelated content.,Other
car sharing basel,10 Best Cafés in Zürich,https://randomblog.example.com/metro-wheels-15,Sample snippet about the business or unrelated content.,Other
velo shop zürich,Pet grooming services near me,https://swifthub16.consultmob.ch,Sample snippet about the business or unrelated content.,Other
e-scooter rental bern,Public EV Charging Map Switzerland,https://tel.search.ch/Bern/swift-hub-16,Sample snippet about the business or unrelated content.,Search.ch
car sharing basel,10 Best Cafés in Zürich,https://swifthub16.consultmob.ch,Sample snippet about the business or unrelated content.,Other
velo shop zürich,Prime Charge 17 – Reviews on Search.ch,https://primecharge17.chargeup.ch,Sample snippet about the business or unrelated content.,Other
e-scooter rental bern,Prime Charge 17 – Reviews on Search.ch,https://www.moneyhouse.ch/en/company/prime-charge-17,Sample snippet about the business or unrelated content.,Moneyhouse.ch
car sharing basel,10 Best Cafés in Zürich,https://primecharge17.chargeup.ch,Sample snippet about the business or unrelated content.,Other
velo shop zürich,Swift Mobility 18 – Official Site,https://swiftmobility18.chargeup.ch,Sample snippet about the business or unrelated content.,Other
e-scooter rental bern,10 Best Cafés in Zürich,https://randomblog.example.com/swift-mobility-18,Sample snippet about the business or unrelated content.,Other
car sharing basel,Swift Mobility 18 on Moneyhouse,https://www.moneyhouse.ch/en/company/swift-mobility-18,Sample snippet about the business or unrelated content.,Moneyhouse.ch
velo shop zürich,Pet grooming services near me,https://novahub19.example.com,Sample snippet about the business or unrelated content.,Other
e-scooter rental bern,Nova Hub 19 – Reviews on Search.ch,https://novahub19.example.com,Sample snippet about the business or unrelated content.,Other
car sharing basel,Nova Hub 19 – Reviews on Search.ch,https://randomblog.example.com/nova-hub-19,Sample snippet about the business or unrelated content.,Other
velo shop zürich,Public EV Charging Map Switzerland,https://randomblog.example.com/swift-wheels-20,Sample snippet about the business or unrelated content.,Other
e-scooter rental bern,Pet grooming services near me,https://tel.search.ch/Zürich/swift-wheels-20,Sample snippet about the business or unrelated content.,Search.ch
car sharing basel,Swift Wheels 20 – Official Site,https://tel.search.ch/Zürich/swift-wheels-20,Sample snippet about the business or unrelated content.,Search.ch
velo shop zürich,Urban Mobility 21 – Reviews on Search.ch,https://randomblog.example.com/urban-mobility-21,Sample snippet about the business or unrelated content.,Other
e-scooter rental bern,Pet grooming services near me,https://www.moneyhouse.ch/en/company/urban-mobility-21,Sample snippet about the business or unrelated content.,Moneyhouse.ch
car sharing basel,10 Best Cafés in Zürich,https://urbanmobility21.bikeswiss.ch,Sample snippet about the business or unrelated content.,Other
velo shop zürich,10 Best Cafés in Zürich,https://primecycles22.example.com,Sample snippet about the business or unrelated content.,Other
e-scooter rental bern,Pet grooming services near me,https://tel.search.ch/Bern/prime-cycles-22,Sample snippet about the business or unrelated content.,Search.ch
car sharing basel,Prime Cycles 22 on Moneyhouse,https://randomblog.example.com/prime-cycles-22,Sample snippet about the business or unrelated content.,Other
velo shop zürich,Public EV Charging Map Switzerland,https://randomblog.example.com/metro-hub-23,Sample snippet about the business or unrelated content.,Other
e-scooter rental bern,Metro Hub 23 – Official Site,https://randomblog.example.com/metro-hub-23,Sample snippet about the business or unrelated content.,Other
car sharing basel,Pet grooming services near me,https://www.moneyhouse.ch/en/company/metro-hub-23,Sample snippet about the business or unrelated content.,Moneyhouse.ch
velo shop zürich,Eco Cycles 24 – Official Site,https://tel.search.ch/Luzern/eco-cycles-24,Sample snippet about the business or unrelated content.,Search.ch
e-scooter rental bern,Public EV Charging Map Switzerland,https://tel.search.ch/Luzern/eco-cycles-24,Sample snippet about the business or unrelated content.,Search.ch
car sharing basel,Public EV Charging Map Switzerland,https://ecocycles24.consultmob.ch,Sample snippet about the business or unrelated content.,Other
